COD_PAIS,NOMBRE_PAIS,COD_CONTINENTE,COD_ECONOMIA
DEU,Alemania,EU,1
AUS,Australia,OC,1
CAN,Canadá,NA,1
ESP,España,EU,1
USA,Estados Unidos,NA,1
ITA,Italia,EU,1
JPN,Japón,AS,1
GBR,Reino Unido,EU,1
RUS,Rusia,EU,1
SWE,Suecia,EU,1
ALB,Albania,EU,0
ARG,Argentina,SA,0
BRA,Brasil,SA,0
COL,Colombia,SA,0
VNM,Vietnam,AS,0
PHL,Filipinas,AS,0
IND,India,AS,0
IDN,Indonesia,AS,0
MEX,México,NA,0
PER,Perú,SA,0
ZAF,Sudáfrica,AF,0
THA,Tailandia,AS,0
AFG,Afganistán,AS,0
BGD,Bangladesh,AS,0
EGY,Egipto,AF,0
ETH,Etiopía,AF,0
IRQ,Iraq,AS,0
IRN,Irán,AS,0
KEN,Kenia,AF,0
MAR,Marruecos,AF,0
